L1_Eligibility ,Decision,Notes,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
1,clear,,2AT99ZET,journalArticle,2015,"Fuerst, F.; McAllister, P.; Nanda, A.; Wyatt, P.",Does energy efficiency matter to home-buyers? An investigation of EPC ratings and transaction prices in England,Energy Economics,,,10.1016/j.eneco.2014.12.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921784116&doi=10.1016%2fj.eneco.2014.12.012&partnerID=40&md5=cbf20ec6f1d5940ba37a8a912038c26e,,2015,18/03/2023 17:44,18/03/2023 17:49,,145-156,,,48,,,,,,,,,,,,,Scopus,,,,,,,,Energy: Demand and Supply; Housing Supply and Markets R31; Prices Q41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,conference,XQZKAE2C,conferencePaper,2017,"Marmolejo-Duarte, C.",Does energy performance certification evenly increase residential values?,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085921207&partnerID=40&md5=fd48f8debe37583cdada29fbeae1d18a,,2017,18/03/2023 17:44,18/03/2023 17:44,,2602-2609,,,2,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of 33rd PLEA International Conference: Design to Thrive, PLEA 2017",,,,,,,,,,,,,,,
1,clear,,B5GRQINQ,journalArticle,2022,"Groh, A.; Kuhlwein, H.; Bienert, S.",Does Retrofitting Pay Off? An Analysis of German Multifamily Building Data,Journal of Sustainable Real Estate,,,10.1080/19498276.2022.2135188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143142591&doi=10.1080%2f19498276.2022.2135188&partnerID=40&md5=d4f14895153b779da667dbcf1ec2dc95,,2022,18/03/2023 17:44,18/03/2023 17:44,,95-112,,1,14,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not Europe; China,,YTYK8Q7T,journalArticle,2023,"Zhang, B.; Zhang, Y.; Li, J.; Song, Y.; Wang, Z.",Does the energy efficiency of buildings bring price premiums? Evidence from urban micro-level energy data,Renewable and Sustainable Energy Reviews,,,10.1016/j.rser.2023.113315,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156223901&doi=10.1016%2fj.rser.2023.113315&partnerID=40&md5=013f65147e4ad26978e5cb5b9391985e,"Energy efficient buildings can facilitate the achievement of sustainable development goals. However, higher investment costs are not conducive to the development of energy efficient buildings. It is not clear whether the energy efficiency of buildings (EEBs) bring price premiums that could offset the incremental costs of adopting green practice. In this paper, a data envelopment analysis (DEA) model is constructed that takes into account the differences in regional and urban size to measure the EEBs in 54 cities of China during 2007–2018. We evaluate the influence of EEBs on price premiums by using fixed effects regression. We then adopt a moderated mediation model to explore the impact of industrial structure and the regional economic development level on this premium effect. The empirical results show that the cities’ EEBs is gradually improving, due to the fact that the level of technical progress in residential construction is rising. A 1% increase in house energy efficiency causes price premiums of 0.583%. Moreover, this premium effect is more obvious in cities with a high proportion of tertiary industries and economically developed areas. Considering energy consumption in household heating, the housing prices expectations were pulled down in heating cities, while the situation was reversed in non-heating cities. This study provides companies and governments with scientific evidence to promote EEBs. © 2023",2023,02/05/2024 10:51,02/05/2024 10:58,,,,,181,,,,,,,,,,,,,Scopus,,,,,,,,Energy efficiency; Housing; Housing prices; Investments; Regional planning; Costs; Data envelopment analysis; Economic and social effects; Energy utilization; Price premiums; Energy data; Energy efficiency of building; Energy efficiency of buildings; Energy efficient building; Housing price premium; Housing price premiums; Incremental cost; Industrial economics; Investment costs; Micro level; Moderating effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,J9TWIR7Q,journalArticle,2024,"Gerassimenko, A.; De Moor, L.; Defau, L.",Does the market value energy efficiency within EPC-labels? An analysis of the residential real estate market in Flanders,International Journal of Housing Markets and Analysis,,,10.1108/IJHMA-12-2023-0173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185484293&doi=10.1108%2fIJHMA-12-2023-0173&partnerID=40&md5=cfa1e94d9a2f52557b6bc51d6ed52cac,"Purpose: The current literature has not investigated the perceived value of energy efficiency by households, regardless of financial benefits. Furthermore, there is a severe lack of research that investigates the effectiveness of the current format of EPC-labels. Therefore, the purpose of this paper is twofold: to study how households value energy efficiency in the housing market, regardless of price effects. Design/methodology/approach: This study uses multiple hedonic regression models to analyse 706,778 Flemish properties for sale or rent between 2019 and 2023. The data is provided by Immoweb – the largest online real estate platform in Belgium. Given that the selling market is driven by different mechanisms than the rental market, the data set was divided in sold (522,164 listings) and rented properties (184,614 listings). Findings: The ambiguous results of the A-label in the selling market indicate that the “class evaluation effect” found in related markets which use labels (e.g. household appliances) is also present in the housing market. However, the results of the other (lower) labels clearly show that owners do value energy improvements within labels, and this effect becomes stronger as the EPC-label becomes better. The rental market shows the opposite results. Energy improvements are only valued if they translate into a financial benefit. Taking these findings into account, the second part of this research shows that rescaling the EPC-label creates an incentive for improvements within labels. Originality/value: This paper provides novel insights by studying the perceived value of energy efficiency in the absence of financial benefits and critically studying the effectiveness of the EPC-labels in their current shape. By investigating both the sales and rental market, the authors are able to make a comparison which creates valuable insights for academia, governments and real estate professionals. © 2024, Emerald Publishing Limited.",2024,02/05/2024 10:51,02/05/2024 10:59,,,,,,,,,,,,,,,,,,Scopus,,,,,,,,Energy efficiency; Housing market; Energy labels; Real estate efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,758REI9X,journalArticle,2016,"Wahlström, M.H.",Doing good but not that well? A dilemma for energy conserving homeowners,Energy Economics,,,10.1016/j.eneco.2016.09.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006827102&doi=10.1016%2fj.eneco.2016.09.025&partnerID=40&md5=c78cacfa2da78a1296ffe28583cd0e85,,2016,18/03/2023 17:44,18/03/2023 17:50,,197-205,,,60,,,,,,,,,,,,,Scopus,,,,,,,,Building attributes; D1; D10; D11; D12; D19; Energy efficient housing; Energy performance certificate; Energy saving potential; Energy: Demand and Supply; Hedonistic consumption; Home energy use; Housing Supply and Markets R31; Market capitalization; Price premium; Prices Q41; Residential energy conservation; Single-family houses; Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,use epc?,QSQ7ZCVA,journalArticle,2017,"Cruz, C.O.; Silva, C.M.; Dias, P.V.; Teotónio, I.",Economic impact of changing thermal regulation—An application to the city of Lisbon,Energy and Buildings,,,10.1016/j.enbuild.2017.05.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020202979&doi=10.1016%2fj.enbuild.2017.05.030&partnerID=40&md5=40310565eedc684b2d6dc2f3f93e13fc,,2017,18/03/2023 17:44,18/03/2023 17:50,,354-367,,,149,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,MCA?,F77FGVE6,journalArticle,2012,"Massimo, DE",Emerging Issues in Real Estate Appraisal: Market Premium for Building Sustainability,AESTIMUM,,1592-6117,,,"In international and metropolitan real estate markets, it has been detected, for the first time, the growing relevance of green buildings with respect to non-green building. Also, it has been singled out and then quantified through regression analysis a green premium, i.e. a differential in terms of price toward sold real estate units having ecological characteristics along with an energy value (more efficient behavior). The incipient international studies recommend to extend the analysis to unexplored middle-size non-metropolitan (marginal) real estate markets. One of this areas has been studied detecting the first sale of an apartment with energy certification belonging to class B in a building with ecological characteristics. The assessment analysis performed through Market Comparison Approach, MCA, made it possible to detect and then appraise the green premium that is in line with the outcomes of the first and pioneer international studies performed in metropolitan areas.",2012,18/03/2023 17:45,18/03/2023 17:45,,653-673,,,,,,,,,,,,,,,,,WOS:000416680900046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,price effect?,V9LBF2NN,journalArticle,2011,"Leopoldsberger, Gerrit; Bienert, Sven; Brunauer, Wolfgang; Bobsin, Kerstin; Schützenhofer, Christian",Energising Property Valuation: Putting a Value on Energy-Efficient Buildings.,Appraisal Journal,,37087,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=61015557&site=ehost-live,"Key words like sustainability, green building, energy efficiency, triple bottom line, and corporate social responsibility increasingly affect the real estate business and therefore most of the related decision making processes. But what effect does sustainability have on property market values? A lot of discussion and research has already been undertaken to analyze possible impacts of sustainable characteristics on property values. Until now, little significant quantitative empirical evidence has been found, and if so, it s usually related to US real estate markets and the sustainability certifications of LEED and Energy Star. In 2002, the EU Energy Performance of Buildings Directive (EPBD) was adopted to improve the energy efficiency of buildings. The IMMOVALUE-project, granted by the program of Intelligent Energy Europe, analyzed the possibility of implementing characteristics of energy efficiency into property valuation practice using data from the mandatory energy-performance certificates. One result of the project was that if detailed property market data are available, multiple regression analysis in the framework of hedonic pricing models could be applied to consider, and empirically establish, the effects of energy efficiency characteristics on properties values. This article focuses on the possibility of integrating aspects of energy efficiency into income-related property valuation approaches. [ABSTRACT FROM AUTHOR]",2011,18/03/2023 17:46,18/03/2023 17:46,,115-125,,2,79,,Appraisal Journal,,,,,,,,,,,Business Source Ultimate,,EBSCOhost,,Publisher: Appraisal Institute,,,,Architecture & energy conservation; Market value; Real estate business; Social responsibility of business; Sustainable buildings; United States; Valuation of real property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure; might be useful,price premium and climate,RQKCVQAK,journalArticle,2015,"Papineau, Maya M.",Energy Codes and the Landlord-Tenant Problem,,,,,https://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=1494290&site=ehost-live,"I estimate the energy efficiency premium in unlabeled office buildings by exploiting variation in mandatory building energy standard implementations, as a result of the U.S. 1992 Energy Policy Act. A more stringent energy code leads to rent and price premiums of approximately 4% and 9%, respectively. Significant heterogeneity in the rent premium is observed based on who pays the utility bills, as would be expected absent asymmetric information about energy conservation characteristics among real estate market participants. The rent and price premiums are larger in hotter, more humid climates, and are consistent with full capitalization of the energy savings from a more stringent standard.",2015,18/03/2023 17:46,18/03/2023 17:46,,58 pages,,,,,,,,,,,,,,,,EconLit,Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org,EBSCOhost,,"Publisher: Carleton University, Department of Economics, Carleton Economic Papers: 15-03",,,,Asymmetric and Private Information; Energy: Government Policy Q48; Mechanism Design D82; Nonagricultural and Nonresidential Real Estate Markets R33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,C68R3HKR,journalArticle,2016,"Chegut, A.; Eichholtz, P.; Holtermans, R.",Energy efficiency and economic value in affordable housing,Energy Policy,,,10.1016/j.enpol.2016.06.043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978300313&doi=10.1016%2fj.enpol.2016.06.043&partnerID=40&md5=1ffa015593bc4d1c0c4cd8944eb96cc2,,2016,18/03/2023 17:44,18/03/2023 17:50,,39-49,,,97,,,,,,,,,,,,,Scopus,,,,,,,,"Energy: Demand and Supply; National Government Expenditures and Welfare Programs H53; Prices Q41; Urban, Rural, Regional, Real Estate, and Transportation Economics: Housing Demand R21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure; book; might be wider lit,,VAAKCPD3,bookSection,2017,"Coulson, N. Edward; Lipscomb, Clifford A.; Wang, Yongsheng; Devine, Avis",Energy Efficiency and the Future of Real Estate: Introduction,Energy Efficiency and the Future of Real Estate,,,,https://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=1752173&site=ehost-live,,2017,18/03/2023 17:46,18/03/2023 17:46,,01-Aug,,,,,,,,,,,"New York: Springer Nature, Palgrave Macmillan",,,,,EconLit,,EBSCOhost,,,,,,Introductory Material Y20,,"Coulson, N. Edward; Wang, Yongsheng; Lipscomb, Clifford A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
