DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year,in db search?,previous decision,final eligibility,deduplicate,add_to _inventory,reason,notes
10.3989/ic.16.053,,,La incidencia de la calificaci??n energ??tica sobre los valores residenciales: un an??lisis para el mercado plurifamiliar en Barcelona,"This paper studies in a novel way the incidence of the energy rating on residential values in Spain. Real estate sale values in metropolitan Barcelona are analyzed using a hedonic model. The results suggest that moving from a G to an A rating increases the value by 5.11 %, equivalent to an average of 16.07 euros/m2/step (although there is an extra for grade A housing).This surplus is, in relative terms, much lower than in other European cities and, in absolute terms, less than the previously reported extra costs expended on improving the energy rating. In addition, the huge lack of energy rating information in the market seems to respond to a strategy to hide the poor rating of the building stock and aggravate the information asymmetry. All together overshadows the effectiveness of the European Energy Efficiency Directive as has been implemented in our country, and calls for its redesign.","C. Marmolejo Duarte,C. Marmolejo Duarte",Informes De La Construccion,2016,0,,0,,0,not English,
10.1177/0042098013477693,,,The Influence of Green Building Certification Schemes on Real Estate Investor Behaviour: Evidence from Singapore:,"Based on an adaptive choice-based conjoint analysis, the aim of this paper is to ascertain the extent to which various characteristics of a condominium unit, and in particular the Building and Construction Authority (BCA) Green Mark Scheme, influence prospective real estate investors???????? preferences for condominium units in Singapore. Through the analysis, this study determines that premium buyers would be willing to pay for property certified by the Green Mark Scheme. The results suggest that the price premium buyers would be willing to pay for green certification varies within the different levels of the Green Mark Scheme, ranging from 3.78 per cent for the Certified award to 7.98 per cent for the Platinum award. The results thus suggest a strong business case for developers of green buildings.","Stefanie Heinzle,Augustin Boey Ying Yip,Melissa Low Yu Xing",Urban Studies,2013,0,,0,,0,not Europe,singapore
10.1108/jerer-06-2016-0023,,,Is energy performance too taxing?: A CAMA approach to modelling residential energy in housing in Northern Ireland,"Over the past decade, there has been an increasing policy focus on improving the environmental performance of the housing stock. Following the Kyoto Protocol, the reduction of energy consumption attributable to buildings is a key Government policy objective. The housing sector has therefore observed a paradigm shift with increasing emphasis on energy efficient housing becoming a new orthodoxy. A side effect of this has been the mandate for ?€?compulsory?€? Energy performance certificates (EPCs) as new laws are promulgated relating to the need to conform with energy performance levels. As from 2018, all properties with EPC levels F and G will not be ?€?lettable?€? and this is likely to be extended to properties for sale. With increasing utility costs to customers, purchasers and authorities are becoming increasingly concerned with the running cost of properties and whether property energy improvements will be capitalized into sale value. Indeed, how energy efficiency is valued in the residential property market in terms of resale or appraisal value is a growing concern (McNamara, 2008; Sayce et al., 2010). Notwithstanding this, the relationship between energy performance and property value remains nebulous, complex and under-researched. In Europe, few studies investigate the effect of energy performance rating on residential property value with limited information and research in the UK and Northern Ireland context. This research uses hedonic analysis to investigate the relationship between EPCs and property sale price within the Belfast housing market. The findings show that there is a positive statistically significant relationship ?€? however, this is complex and subject to omitted variable bias and endogeneity problems. In addition, there appears to be a rural urban divide with regards to where policy should target. We further develop a multiplicative model (CAMA) to assess the energy performance of properties across NI using CO2 kg m2. The results show that introduction of a ?€?green?€? tax may indeed help foster behavioural change, but is in no way a panacea.","Peadar Davis,Michael McCord,William McCluskey,William McCluskey,Erin Montgomery,Martin Haran,John McCord",Journal of European Real Estate Research,2017,0,,0,,0,out of scope,not price effect (modelling EPC)
10.1016/j.econlet.2017.11.033,,,The value of green certification in the Singapore housing market,"In Singapore, a real estate developer sells new apartments in the same high-rise development before and after obtaining green certification. This allows the use of within-development variation in prices over time to measure the effect of green certification on housing prices, controlling for differences across developments. I find that green certification increases prices by around 3%, suggesting that buyers value certification, possibly because it signals the presence of less-salient green features. Moreover, the effect of certification is biggest for developments that receive the lowest green rating, which likely have fewer green features and are thus less obviously green.",Eric Fesselmeyer,Economics Letters,2018,0,,0,,0,not Europe,singapore
10.1016/j.enpol.2019.03.022,,,An analysis of errors in the Energy Performance certificate database,"Energy Performance Certificates (EPCs) are the adopted method by which the UK government tracks the progress of its domestic energy efficiency policies. Over 15 million EPCs have been lodged, representing a valuable resource for research into the UK building stock. However, the EPC record has a reputation of containing multiple errors. In this work, we identify many such errors and quantify how common they are. We find that 27% of EPCs in the open EPC record display at least one flag to suggests it is incorrect and estimate the true error rate of the EPC record to be between 36 and 62%. Many of these errors are caused by EPC assessors disagreeing on building parameters such as floor type, wall type and built form. Additionally, flats and maisonettes appear to cause more issues than other property types. This may be due to difficulties in assessing their location in the building and the nature of the surrounding space. We also suggest potential new methods of quality assurance which rely on machine learning and which could allow such errors to be avoided in the future.","Alr Hardy,David Glew",Energy Policy,2019,0,,0,,0,out of scope,not price effect (criticism of EPC)
10.1016/j.rser.2019.109244,,,Review of building energy performance certification schemes towards future improvement,"Abstract   The building sector accounts for 40% of the total energy consumption in the EU. It faces great challenges to meet the goal of transforming the existing building stocks into near zero-energy buildings by 2050. The development of Energy Performance Certificate (EPC) schemes in the EU provides a powerful and comprehensive information tool to quantitatively predict annual energy demand from the building stock, creating a demand-driven market for energy-effective buildings. Properties with improved energy rating have had a positive impact on property investments and rental return because of the reduced energy bills. In addition, the EPC databases have been applied to energy planning and building renovations. However, it should be mentioned that the current evaluation system faces problems, such as not being fully implemented, delivering low quality and insufficient information to stimulate renovation, therefore requiring improvements to be made. This paper provides a review of the current EPC situations in the EU and discusses the direction of future improvements. The next generation EPC should rely on BIM technology, benefit from big data techniques and use building smart-readiness indicators to create a more reliable, affordable, comprehensive and customer-tailored instrument, which could better represent energy efficiency, together with occupants?€? perceived comfort, and air quality. Improved EPC schemes are expected to play an active role in monitoring building performance, future energy planning and quantifying building renovation rates, promoting energy conservation and sustainability.","Yu Li,Sylvain Kubicki,Annie Guerriero,Yacine Rezgui",Renewable & Sustainable Energy Reviews,2019,0,,0,,0,out of scope,not price effect
10.1111/j.1540-6229.2010.00286.x,,,Green Noise or Green Value? Measuring the Effects of Environmental Certification on Office Values,"This study investigates the price effects of environmental certification on commercial real estate assets. It is argued that there are likely to be three main drivers of price differences between certified and noncertified buildings. These are additional occupier benefits, lower holding costs for investors and a lower risk premium. Drawing upon the CoStar database of U.S. commercial real estate assets, hedonic regression analysis is used to measure the effect of certification on both rent and price. The results suggest that, compared to buildings in the same submarkets, eco-certified buildings have both a rental and sale price premium.","Franz Fuerst,Patrick McAllister",Real Estate Economics,2011,0,,0,,0,Not residential buildings,office
10.1016/j.eneco.2015.08.022,,,The role of information for energy efficiency in the residential sector,"Abstract   In spite of the large potential and existing efforts to foster energy efficiency in the residential sector, much remains to be achieved. This may be partially due to the many barriers and market failures faced by energy efficiency, which are even greater in this sector. In particular, informational failures seem to be pervasive and relevant in this area. Addressing these issues requires specific policy instruments and strategies. This paper reviews the empirical evidence on the effectiveness of such instruments, focusing on energy certificates, feedback programs, and energy audits. Results show that energy certificates and feedback programs can be effective, but only if they are carefully designed, whereas the evidence about the effectiveness of energy audits is mixed. In addition, the paper points out the large potential for new instruments as well as combinations of existing ones.","Ana Ramos,Alberto Gago,Xavier Labandeira,Xavier Labandeira,Pedro Linares",Energy Economics,2015,0,,0,,0,wider literature,
10.1108/14635781211206887,,,The value of sustainability in real estate: a review from a valuation perspective,"Purpose - The purpose of this paper is to synthesise the plethora of research that has been conducted into the relationship between sustainability and market value in real estate, by critically analysing the research and the applicability of sustainability and value research in valuation practice. Design/methodology/approach - The research on the relationship between sustainability and market value in real estate is examined from the perspective of its usefulness to the valuation profession in providing guidance, information and evidence to be used in valuation practice. Findings - Existing research conducted into the relationship between sustainability and market value has not provided the valuation profession with evidence which would allow the incorporation of normative theories on the value of sustainability in valuation practice. This review highlights the lack of evidence, and the applicability of current research into sustainability and value to the valuation profession in providing guidance and information in valuing real estate incorporating sustainability. Practical implications - This paper highlights the limited applicability of research to date in regard to the relationship between sustainability and market value for the valuation profession. The lack of historical evidence, data or information on the quantifiable effects on market value of this new trend (sustainability), leaves the valuation profession uncertain as to the relationship between sustainability and market value. There is a probable risk of valuers interpreting strategic research incorrectly, and making inappropriate adjustments or comparisons because of their lack of knowledge and limited sustainability assessment skills. Although there is an evolving body of knowledge, there is a need for extensive analysis of unbiased, evidence-based research in individual and broader markets to provide guidance, evidence and knowledge of the implications of sustainability in the valuation of real estate. Originality/value - The examination of research investigating the relationship between sustainability and value from a valuation perspective provides an alternative insight into the applicability of current research in valuation practice. The increasing profile and role of sustainability in the real estate sector needs to be addressed in valuation practice; however, the variety of research to date needs to be interpreted by valuers in the correct context. This paper brings to light the applicability of sustainability and value research for the broader valuation profession, and the potential implications of misuse or misunderstanding of that research.",Georgia Warren-Myers,Journal of Property Investment & Finance,2012,0,,0,,0,out of scope,
10.1016/0166-0462(92)90038-3,,,Spatial autocorrelation and neighborhood quality,"Abstract   Although it is intuitively obvious that neighborhood quality and accessibility should affect housing prices, the empirical evidence is weak: Most hedonic estimations show few significant coefficients on the neighborhood and accessibility variables. The lack of empirical support for the capitalization of neighborhood and accessibility effects may stem from the multicentric nature of the city as well as measurement problems with regard to neighborhood quality. In this paper, an alternative approach is taken: Omit all neighborhood and accessibility measures from the set of explanatory variables and instead model the resulting autocorrelation in the error term. Data from Baltimore are used in an empirical example; the results show that this approach provides a very plausible pattern of housing price variation.",Robin A. Dubin,Regional Science and Urban Economics,1992,0,,0,,0,out of scope,spatial autocorrelation
10.1080/09599910110039897,,,The use of reference points in valuation judgment,"Experiments reported in this paper clarify and extend results of previous research into the impact of reference points on valuation judgment. The value judgments of expert commercial appraisers from the USA who were not familiar with the geographical setting of the subject property were influenced by a variety of reference points. In order of significance of impact, these influential reference points were: the uncompleted contract price of a comparable property; the uncompleted contract price of the subject property; and the value opinions of other experts. This hierarchy of impact is consistent with both the degree to which each reference point is sanctioned by normative US training and the degree to which each reference point is generally available to US experts. Comparison with previous research suggests that market uncertainty as reflected by geographical unfamiliarity has a role in triggering reference point anchoring.","Julian Diaz,J. Andrew Hansz",Journal of Property Research,2001,0,,0,,0,out of scope,valuation judgement
10.1016/j.enpol.2013.07.043,,,Energy performance certification as a signal of workplace quality,"Energy performance labelling and certification have been introduced widely to address market failures affecting the uptake of energy efficient technologies, by providing a signal to support decision making during contracting processes. The UK has recently introduced the Energy Performance Certificate (EPC) as a signal of building energy performance. The aims of this article are: to evaluate how valid EPC?€?s are signals of occupier satisfaction with office facilities; and to understand whether occupant attitudes towards environmental issues have affected commercial office rental values. This was achieved by surveying occupant satisfaction with their workplaces holistically using a novel multi-item rating scale which gathered 204 responses. Responses to this satisfaction scale were matched with the corresponding EPC and rental value of occupier?€?s workplaces. The satisfaction scale was found to be both a reliable and valid measure. The analysis found that EPC asset rating correlates significantly with occupant satisfaction with all facility attributes. Therefore, EPC ratings may be considered valid signals of overall facility satisfaction within the survey sample. Rental value was found to correlate significantly only with facility aesthetics. No evidence suggests rental value has been affected by occupants' perceptions towards the environmental impact of facilities.","Aidan Parkinson,Robert De Jong,Alison Cooke,Peter Guthrie",Energy Policy,2013,0,,0,,0,Not residential buildings,office
10.1016/j.enpol.2016.03.032,,,The price of energy efficiency in the Spanish housing market,"The housing sector is a substantial consumer of energy, and therefore a focus for energy savings efforts. The Energy Performance Certificate (EPC) is the main EU policy to improve the energy performance of buildings. Following the implementation of the EPC Directive into Spanish law, from June 2013, all properties offered for sale or rented out in Spain are required to have an EPC. Given that this is a recently introduced regulation, unlike other European housing markets, the Spanish one lacks market data on energy efficiency (EE) labels and their impact on housing price. In order to overcome this gap, we determine the EE ratings of a sample of 1,507 homes across Spain on the basis of information collected previously through household surveys. This information allowed us to answer the question of whether or not, and to what extent, Spanish housing markets capitalise the value of EE. We apply the hedonic-price technique and observe that more energy efficient dwellings (meaning higher EE rating) have a price?premium between 5.4% and 9.8% compared to those with the same characteristics but lower EE level.","Amaia de Ayala,Ibon Galarraga,Joseph V. Spadaro,Joseph V. Spadaro",Energy Policy,2016,1,0,0,,0,not EPC,self-determined energy rating
10.1016/j.regsciurbeco.2013.07.001,,,The capitalization of green labels in the California housing market,"The residential sector accounts for 33% of electricity consumption in the U.S., with a total expenditure of $166billion in 2010. Increasing the energy efficiency of the durable housing stock can thus provide significant cost savings for consumers. One promising trend is the rise of homes labeled by a third party as ?€?green?€? or energy efficient. This paper documents evidence on the effects of providing information about the energy efficiency and ?€?sustainability?€? of structures in affecting consumer choice. We conduct a hedonic pricing analysis of all single-family home sales in California over the time period 2007 to 2012, and find that homes labeled with a green label transact at a small premium relative to otherwise comparable, non-labeled homes. We show evidence of spatial variation in this capitalization such that both environmental ideology and local climatic conditions play a role in explaining the variation in the green premium across geographies.","Matthew E. Kahn,Nils Kok",Regional Science and Urban Economics,2014,1,0,0,,0,,
10.2139/ssrn.2096296,,,The Value of Domestic Building Energy Efficiency ?€? Evidence from Ireland,"Following the transposition of the EU Energy Performance of Buildings Directive into Irish law, all properties offered for sale or to let in Ireland are obliged to have an energy efficiency rating. This paper analyses the effect of energy efficiency ratings on the sale and rental prices of properties in the Republic of Ireland. Using the Heckman selection technique we model the decision to advertise the energy efficiency rating of a property and the effect of energy efficiency ratings on property values. Our results show that energy efficiency has a positive effect on both the sales and rental prices of properties, and that the effect is significantly stronger in the sales segment of the property market. We also analyse the effect of energy efficiency across different market conditions and we find that the effect of the energy rating is stronger where market conditions are worse.","Marie Hyland,Ronan C. Lyons,Se??n Lyons",Energy Economics,2013,1,1,1,,0,,
10.1016/j.enpol.2012.04.015,,,The impact of energy labels and accessibility on office rents,"Energy consumption in the commercial property sector offers an important opportunity for conserving resources. In this study, we evaluate the financial implications of two elements of ?€?sustainability?€? ?€? energy efficiency and accessibility ?€? in the market for commercial real estate. An empirical analysis of some 1100 leasing transactions in the Netherlands over the 2005?€?2010 period shows that buildings designated as inefficient (with an EU energy performance certificate D or worse) command rental levels that are some 6.5 percent lower as compared to energy efficient, but otherwise similar buildings (labeled A, B or C). Furthermore, this study shows that office buildings in multi-functional areas, with access to public transport and facilities, achieve rental premiums over mono-functional office districts. For policymakers, the results documented in this paper provide an indication on the effectiveness of the EU energy performance certificate as a market signal in the commercial property sector. The findings documented here are also relevant for investors in European office markets, as the importance of energy efficiency and locational diversification is bound to increase following stricter environmental regulation and changing tenant preferences.","Niels Kok,Maarten Jennen",Energy Policy,2012,1,0,0,,0,,office
10.1080/01446193.2013.769686,,,Rental price and sustainability ratings: which sustainability criteria are really paying back?,"Given the centrality of the price mechanism to resource allocation in market economies, the effect of sustainable construction on real estate prices has become an increasingly important empirical issue for market participants and policy makers in the real estate sector. Drawing upon a sample of approximately 2500 residential building units in Switzerland, this study assesses the effects of buildings?€? sustainability on their rental prices. In contrast to the vast majority of previous studies that have focused on the price effects of eco-labels, this study investigates the effects of individual sustainability attributes. Overall, we find a positive relationship between the environmental performance of residential buildings and their rental levels. Sustainable building characteristics, especially those which enhance the water efficiency, the health and comfort level and the building?€?s safety and security, have significant positive price effects. It is argued that the unexpected negative relationship between energy performance and rental prices is attributed to the bundling of energy costs and rents in Swiss lease structures.","Annika Feige,Patrick Mcallister,Holger Wallbaum",Construction Management and Economics,2013,1,0,0,,0,Not energy efficiency rating ,environmental performance (self-defined sustainability indicators) and house value
10.15396/eres2011_89,,,The impact of Energy Performance Certificates on the rental and capital values of commercial property assets,"The focus of this study is on the effect of EPC rating on the capital values, rental values and equivalent yields of a sample of UK commercial property assets. As part of a wider objective to reduce greenhouse gas emissions, one of the policy aims of energy labelling of buildings is to provide information to market participants about assetsi energy performance in order to influence their demand. In turn, it is implied that demand shifts will have effects on prices, supply and, ultimately, on greenhouse gas emissions. Since they constitute the terms on which products are exchanged, prices are a fundamental element of markets and, whilst not always perfect, price signals are central to the operation of markets. Research on price effects is, therefore, central to identifying the effectiveness of this type of policy intervention. The study is based upon 708 commercial property assets held in the IPD UK Universe drawn from across all PAS segments. Hedonic regression procedures are used to estimated the determinants of commercial property assetsi yields, capital and rental values.","Patrick McAllister,Franz Fuerst,Buki Ekeowa",,2011,1,0,0,1,0,out of scope,commercial; UK
10.1016/j.regsciurbeco.2015.12.001,,,Does the housing market value energy efficient homes? Evidence from the energy star program,"The ?€?Energy Star?€? certification of residential homes is a recent attempt in the United States to improve energy efficiency in the residential sector by incentivizing home builders to ?€?build green.?€? We examine the effectiveness of this program by estimating homeowners' marginal willingness to pay for Energy Star residences in Gainesville, Florida. We use single-family residential property sales in Gainesville, Florida between 1997 and 2009. Using the hedonic method, we find that homeowners are willing to pay a premium for new Energy Star homes, but that this premium fades rapidly in the resale market.","Chris Bruegge,Christopher D. Bruegge,Carmen E. Carri??n-Flores,Jaren C. Pope",Regional Science and Urban Economics,2016,1,0,0,,0,not Europe,USA
10.1016/j.regsciurbeco.2011.04.004,,,Economic Returns to Energy-Efficient Investments in the Housing Market: Evidence from Singapore *,"Since January of 2005, 250 building projects in the City of Singapore have been awarded the Green Mark for energy efficiency and sustainability. This paper analyzes the private returns to these investments, evaluating the premium in asset values they command in the market. We analyse almost 37,000 transactions in the Singapore housing market to estimate the economic impact of the Green Mark program on Singapore's residential sector. We adopt a two-stage research design; in the first stage, a hedonic pricing model is estimated based on transactions involving green and non-green residential units in 697 individual projects or estates. In the second stage, the fixed effects estimated for each project are regressed on the location attributes of the projects, as well as control variables for a Green Mark rating. Our results suggest that the economic returns to green building are substantial. This is one of the first analyses of the economics of green building in the residential sector, and the only one analysing property markets in Asia. Our results provide insight about the operation of the housing market in one country, but the policy implications about the economic returns to sustainable investments in the property market may have broader applications for emerging markets in Asia.","Yongheng Deng,Zhiliang Li,John M. Quigley",Regional Science and Urban Economics,2012,1,0,0,,0,not Europe,Singapore
10.1016/j.eneco.2018.04.041,,,Does voluntary disclosure create a green lemon problem? Energy-efficiency ratings and house prices,"This paper seeks to elucidate whether high levels of non-disclosure lead to adverse market outcomes in the form of the well-known lemons problem. It also empirically tests whether energy-efficiency ratings (EERs) are reflected in both housing sales prices and rents in the Australian Capital Territory, the only Australian housing market with mandatory ratings for all dwellings at point of sale or lease. Using a comprehensive dataset of sale and lease transactions during the period 2011?€?2016, a hedonic framework is applied. The analysis confirms that both the reported energy-efficiency levels and other sustainability-related characteristics that are not part of the formal rating assessment influence the pricing of both sales and rental transactions. Characteristics such as heating and cooling systems and the presence of solar power generators are significantly reflected in rents and sales prices, as tenants and buyers are likely to estimate their expected utility costs based on the EER. It is also shown that the option of leaving the EER of a rental property unreported presents a moral hazard for landlords of sub-standard properties, in that the likelihood of EER disclosure increases in line with the number of energy-efficient features of a property as revealed in the marketing material. The analysis also reveals that socio-economically disadvantaged areas suffer from disproportionately higher levels of EER non-disclosure, potentially constituting a ?€?double disadvantage?€? of non-disclosure and low?€?energy efficiency dwelling stock. From a market and asset-pricing perspective, it thus seems preferable to extend the requirement to obtain and present a valid EER to the rental market.","Franz Fuerst,Georgia Warren-Myers",Energy Economics,2018,1,0,0,,0,not Europe,Australia
10.1016/j.jjie.2016.01.003,,,Green luxury goods? The economics of eco-labels in the Japanese housing market,"Abstract   Using a unique transaction database of condominiums in the Tokyo metropolitan area and a hedonic analytical framework, we find that eco-labelled buildings command a small but significant premium on both the asking and transaction prices. This finding is consistent with results from other countries but in contrast to these studies, the present analysis also incorporates buyer characteristics which provide further information on the sources of demand for eco-labelled real estate. A separate estimation by subgroups reveals that the price premium is primarily driven by wealthier households that exhibit a higher willingness-to-pay for eco-labelled condominiums, both as a total amount and as a fraction of the total sales price. Less affluent households are also shown to pay higher prices for the eco label but the effect is less pronounced. The results indicate that capitalised utility bill savings are likely to account for a large proportion of the observed premium but the higher premium paid by affluent households suggests that more intangible benefits of living in a green building may also play a role.","Franz Fuerst,Chihiro Shimizu",Journal of The Japanese and International Economies,2016,1,0,0,,0,not Europe,Japan
10.1016/j.euroecorev.2012.02.012,,,"The Nascent Market for ""Green"" Real Estate in Beijing","In recent years, formal certification programs for rating and evaluating the sustainability and energy efficiency of buildings have proliferated around the world. Developers recognize that such ?€?green labels?€? differentiate products and allow them to charge a price premium. China has not formally adopted such rating standards. In the absence of such standards, developers are competing with each other based on their own self-reported indicators of their buildings?€? ?€?greenness?€?. We create an index using Google search to rank housing complexes in Beijing with respect to their ?€?marketing greenness?€? and document that these ?€?green?€? units sell for a price premium at the presale stage but they subsequently resell or rent for a price discount. An introduction of a standardized official certification program would help ?€?green?€? demanders to acquire units that they desire and would accelerate the advance of China?€?s nascent green real estate market.","Siqi Zheng,Jing Wu,Matthew E. Kahn,Yongheng Deng",European Economic Review,2012,1,0,0,,0,not Europe,China
