model_id,paper_id,Reference,gen_title,gen_pub_year,gen_publisher,geog_country,geog_scale,time_start,time_end,time_span,rd_1,rd_2,data_sample_size,data_ht_1,data_ht_2,data_pt,data_tenure,var_ee_aspect,var_ee_scale,var_ee_time,meth_model,spatial_matrix,meth_loc,meth_spatial_inter,meth_tem,functional_form,res_broad,var_hp,var_all,var_structural,var_neighborhood,var_quality,pp_score,pp_band_a,pp_band_b,pp_band_c,pp_band_d,pp_band_e,pp_band_f,pp_band_g,diff_rd_flag,diff_rd_tag,diff_pp_flag,pp_other,pp_other_explain,r2
12,9,"von Platten et al., 2022",Energy efficiency at what cost? Unjust burden-sharing of rent increases in extensive energy retrofitting projects in Sweden,2022,Energy Research and Social Science,Sweden,National,2013,2019,2,Observational,Longitudinal - same subsample; rent increase; energy efficiency improvement,30456,apartment,all ,listing,rents,EER,Band,Current,OLS,,Yes,No,No,linear,depends,rent increase per square meter and year (%),"age, renovation type, housing company (private/public etc), municipality type, initial rent level, initial EPC, residential income",Yes,Yes,No,,,,,,,,,1,EP imrpvement and rent increase,1,No EP improvement-0; Medium EP improvement-3.1%; Large EP improvement-20%,impact of energy performance improvement on rent increases,0.145
13,10,"Chegut et al., 2019",Energy Efficiency Information and Valuation Practices in Rental Housing,2019,The Journal of Real Estate Finance and Economics,United Kingdom,Regional,2012,2012,1,Observational - comparative,Longitudinal - same subsample; not price change; separate regression,6185,all ,social,appraisal,sales,EER,Score,Current,OLS,,Yes,No,No,log-log,postive (improved),log price per m2,"size (log), property type, age, number of rooms, location",Yes,No,No,,,,,,,,,1,EER score and log-log,1,-0.048,log SAP score as energy variable,0.98
14,10,"Chegut et al., 2019",Energy Efficiency Information and Valuation Practices in Rental Housing,2019,The Journal of Real Estate Finance and Economics,United Kingdom,Regional,2015,2015,1,Observational - comparative,Longitudinal - same subsample; not price change; separate regression,6185,all ,social,appraisal,sales,EER,Score,Current,OLS,,Yes,No,No,log-log,postive (improved),log price per m2,"size (log), property type, age, number of rooms, location",Yes,No,No,,,,,,,,,1,EER score and log-log,1,-0.048,log SAP score as energy variable,0.98
15,10,"Chegut et al., 2019",Energy Efficiency Information and Valuation Practices in Rental Housing,2019,The Journal of Real Estate Finance and Economics,Netherlands,Urban,2010,2010,1,Observational - comparative,Longitudinal - same subsample; not price change; separate regression,12289,all ,social,appraisal,sales,EER,Band,Current,OLS,,Yes,No,No,semi-log,postive (improved),log price per m2,"size (log), property type, age, number of rooms, location",Yes,No,No,,-0.017,0,hold-out,-0.027,-0.031,-0.02,-0.042,0,,0,,,0.84
16,10,"Chegut et al., 2019",Energy Efficiency Information and Valuation Practices in Rental Housing,2019,The Journal of Real Estate Finance and Economics,Netherlands,Urban,2015,2015,1,Observational - comparative,Longitudinal - same subsample; not price change; separate regression,12289,all ,social,appraisal,sales,EER,Band,Current,OLS,,Yes,No,No,semi-log,postive (improved),log price per m2,"size (log), property type, age, number of rooms, location",Yes,No,No,,0.065,0.031,hold-out,-0.037,-0.005,-0.038,-0.07,0,,0,,,0.9
17,11,"Cerin at al., 2014",Energy Performance and Housing Prices,2014,Sustainable Development,Sweden,National,2009,2010,2,Observational,Cross-sectional,64753,all ,all ,transaction,sales,EER,Energy consumption,Current,OLS,,Yes,No,Yes,log-log,depends,log price per m2,"property type, age, location, year",Yes,No,No,,,,,,,,,1,Energy consumption and log-log,1,0.06,log energy consumption(kwh/m2) (energy performance index) - log transaction price/m2,0.43
18,12,"Olaussen et al., 2017",Energy performance certificates ?C Informing the informed or the indifferent?,2017,Energy Policy,Norway,Urban,2014,2014,1,Observational - comparative,Cross-sectional,2025,all ,all ,transaction,sales,EER,Band,Current,OLS,,Yes,No,No,semi-log,no impact,log price per m2,"size (dummy), property type, age, location",Yes,No,No,,0.043,0.189,0.122,0.075,0.005,hold-out,0.054,0,,0,,,0.5
19,12,"Olaussen et al., 2017",Energy performance certificates ?C Informing the informed or the indifferent?,2017,Energy Policy,Norway,Urban,2000,2009,10,Observational - comparative,Cross-sectional,1887,all ,all ,transaction,sales,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,no impact,log price per m2,"size (dummy), property type, age, location, year",Yes,No,No,,,,,,,,,1,Pre-label model,0,B: 0.246 (1%); C: 0.115 (1%); D: 0.097 (1%); E: 0.03 (10%); G: 0.027 (1%),pre-label model,0.63
20,12,"Olaussen et al., 2017",Energy performance certificates ?C Informing the informed or the indifferent?,2017,Energy Policy,Norway,Urban,2000,2014,13,Observational - comparative,Cross-sectional,4674,all ,all ,transaction,sales,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,no impact,log price per m2 (adjuested with price index of observation year),"age, location, dwelling type, property size, fixed effect (conrtol for all time invariant variables)",Yes,No,No,,not mentioned,-0.005,0.019,-0.012,-0.024,0.02,0.051,0,fixed effect model,0,,,0.02
21,13,"McCord et al., 2020(c) ",Energy performance certificates and house prices: a quantile regression approach,2020,Journal of European Real Estate Research,United Kingdom,Urban,2018q2,2019q1,1,Observational,Cross-sectional,1478,all ,all ,transaction,sales,EER,Band - both for study-wise,Current,OLS,,Yes,No,No,semi-log,positive,log price,"size, property type, age, heating type, garage, location",Yes,No,No,,,0.072,0.0315,hold-out,0.0000104,-0.0166,-0.132,0,,0,,,0.6805
22,13,"McCord et al., 2020(c) ",Energy performance certificates and house prices: a quantile regression approach,2020,Journal of European Real Estate Research,United Kingdom,Urban,2018q2,2019q1,1,Observational,Cross-sectional,1478,all ,all ,transaction,sales,EER,Band,Current,QR,,Yes,No,No,semi-log,positive,log price,"size, property type, age, heating type, garage, location",Yes,No,No,,,,,,,,,1,QR,0,,,
23,13,"McCord et al., 2020(c) ",Energy performance certificates and house prices: a quantile regression approach,2020,Journal of European Real Estate Research,United Kingdom,Urban,2018q2,2019q1,1,Observational,Cross-sectional,1478,all ,all ,transaction,sales,EER,Band,Potential,OLS,,Yes,No,No,semi-log,positive,log price,"size, property type, age, heating type, garage, location",Yes,No,No,,not mentioned,0.1227,hold-out,0.007,-0.009,-0.098,not mentioned,1,QR and potential EER,0,,,0.677
24,13,"McCord et al., 2020(c) ",Energy performance certificates and house prices: a quantile regression approach,2020,Journal of European Real Estate Research,United Kingdom,Urban,2018q2,2019q1,1,Observational,Cross-sectional,1478,all ,all ,transaction,sales,EER,Band,Potential,QR,,Yes,No,No,semi-log,positive,log price,"size, property type, age, heating type, garage, location",Yes,No,No,,,,,,,,,1,QR and potential EER,0,,,
25,14,"Wilhelmsson, 2019",Energy performance certificates and its capitalization in housing values in Sweden,2019,Sustainability (Switzerland),Sweden,National,2013,2018,6,Observational,Cross-sectional,80260,house,all ,transaction,sales,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,positive,log price,"size (log), age (log), number of rooms, plot size, inverse propensity score, location, month",Yes,No,No,,0.041,0.041,0.041,hold-out,hold-out,hold-out,hold-out,0,,1,A/B/C vs D/E/F/G,,0.8653
26,14,"Wilhelmsson, 2019",Energy performance certificates and its capitalization in housing values in Sweden,2019,Sustainability (Switzerland),Sweden,National,2013,2018,6,Observational,Cross-sectional,80260,house,all ,transaction,sales,EER,Band,Current,QR,,Yes,No,Yes,semi-log,positive,log price,"size (log), age (log), number of rooms, plot size, propensity score, location, month",Yes,No,No,,,,,,,,,1,QR,0,percentile-coefficient: 0.9-0.0269; 0.8-0.0277; 0.7-0.0284; 0.6-0.0290; 0.5-0.0270; 0.4-0.0266; 0.3-0.0277;0.2-0.0285; 0.1-0.0259,quantile regression; binary EPC (A-C vs. D-G),
27,15,"Fregonara et al., 2017",Energy performance certificates in the Turin real estate market,2017,Journal of European Real Estate Research,Italy,Urban,2011,2014,4,Observational,Cross-sectional,879,apartment,all ,transaction - both,sales,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,no impact,log price,"size, age, apartment condition, building quality, building condition (new/refurbished), location, time",Yes,No,Yes,,0.2,0.036,0.039,hold-out,-0.011,-0.042,-0.056,0,,0,,,0.68
28,15,"Fregonara et al., 2017",Energy performance certificates in the Turin real estate market,2017,Journal of European Real Estate Research,Italy,Urban,2011,2014,4,Observational,Cross-sectional,879,apartment,all ,listing,sales,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,no impact,log price,"size, age, apartment condition, building quality, building condition (new/refurbished), location, time",Yes,No,Yes,,0.14,0.084,0.013,hold-out,-0.021,-0.023,-0.046,0,,0,,,0.626
29,16,"Olaussen et al., 2019",Energy Performance Certificates??The Role of the Energy Price,2019,Energies,Norway,Urban,2014,2014,1,Observational - comparative,Cross-sectional,2789,all ,all ,transaction,sales,EER,Expected value of energy cost,Current,OLS,,Yes,No,No,log-log,no impact,log price per m2,"size (small, medium, large), property type, age, location",Yes,No,No,,,,,,,,,1,other energy variable,1,-0.09,"energy variable: Expected value of energy cost (take into account energy label, energy price, rate of discount and growth rate); coefficient of log(PV energy cost - present value of energy cost -); calculation: the logarithm of energy consumption per square meter times the expected energy cost per square meter, divided by the discount rate minus the growth rate",0.47
30,16,"Olaussen et al., 2019",Energy Performance Certificates??The Role of the Energy Price,2019,Energies,Norway,Urban,2000,2009,10,Observational - comparative,Cross-sectional,1608,all ,all ,transaction,sales,EER,Expected value of energy cost,Current,OLS,,Yes,No,No,log-log,no impact,log price per m2,"size (small, medium, large), property type, age, location",Yes,No,No,,,,,,,,,1,other energy variable,1,-0.081,"energy variable: Expected value of energy cost (take into account energy label, energy price, rate of discount and growth rate); coefficient of log(PV energy cost - present value of energy cost -); calculation: the logarithm of energy consumption per square meter times the expected energy cost per square meter, divided by the discount rate minus the growth rate",0.4
31,17,"Fuerst et al., 2016(a)",Energy performance ratings and house prices in Wales: An empirical study,2016,Energy Policy,United Kingdom,Regional,200301,201402,11,Observational,Cross-sectional,62464,house,all ,transaction,both,EER,Band - both for study-wise,Current,OLS,,Yes,No,Yes,semi-log,positive,log price per m2,"property type, age, number of rooms, tenure, urban-rural index score, location, time",Yes,Yes,No,,0.113,0.113,0.0206,hold-out,-0.0209,-0.0473,-0.0717,0,,0,,,0.505
32,17,"Fuerst et al., 2016(a)",Energy performance ratings and house prices in Wales: An empirical study,2016,Energy Policy,United Kingdom,Regional,200301,201402,11,Observational,Cross-sectional,3182,house,all ,transaction,rents,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,positive,log price per m2,"property type, age, number of rooms, tenure, urban-rural index score, location",Yes,Yes,No,,0.185,0.185,0.04,hold-out,-0.022,-0.017,-0.072,0,,0,,,0.497
33,17,"Fuerst et al., 2016(a)",Energy performance ratings and house prices in Wales: An empirical study,2016,Energy Policy,United Kingdom,Regional,200301,201402,11,Observational,Longitudinal - same subsample; price change; pre and post-label data?,25189,house,all ,transaction,both,EER,Band,Current,OLS,,Yes,No,No,linear,positive,price change per m2,"property type, age, number of rooms, tenure, urban-rural index score, location, time",Yes,Yes,No,,-0.00169,-0.00169,0.032,hold-out,-0.0449,-0.0591,-0.0153,1,,0,,price appreciation as dependent variable,0.256
34,18,"DellAnna et al., 2019",EPC Green Premium in Two Different European Climate Zones: A Comparative Study between Barcelona and Turin,2019,Sustainability (Switzerland),Spain,Urban,2014,2016,2,Observational - comparative,Cross-sectional,3224,apartment,all ,listing,sales,EER,Band,Current,SLM,,No,Yes,Yes,semi-log,positive,log price,"size, new/retrofitted, dwelling level, air conditioning, building (swimming pool, lift), accessibility (highway, urban park, sea coast), year, lag coefficient",Yes,Yes,Yes,,,,,,,,,1,ordinal EPC,1,0.0188,"EPC is an ordinal attribute: A=7; B=6, ??G=1",0.8202
35,18,"DellAnna et al., 2019",EPC Green Premium in Two Different European Climate Zones: A Comparative Study between Barcelona and Turin,2019,Sustainability (Switzerland),Spain,Urban,2014,2016,2,Observational - comparative,Cross-sectional,3224,apartment,all ,listing,sales,EER,Band,Current,SEM,,No,Yes,Yes,semi-log,positive,log price,"size, new/retrofitted, dwelling level, air conditioning, building (swimming pool, lift), accessibility (highway, urban park, sea coast), year, lambda",Yes,Yes,Yes,,,,,,,,,1,ordinal EPC,1,0.0182,"EPC is an ordinal attribute: A=7; B=6, ??G=1",0.7926
36,18,"DellAnna et al., 2019",EPC Green Premium in Two Different European Climate Zones: A Comparative Study between Barcelona and Turin,2019,Sustainability (Switzerland),Italy,Urban,2014,2018,4,Observational - comparative,Cross-sectional,15288,apartment,all ,listing,sales,EER,Band,Current,SLM,,No,Yes,Yes,semi-log,positive,log price,"size, new/retrofitted, dwelling level, air conditioning, building (swimming pool, lift), accessibility (highway, urban park, sea coast), year, lag coefficient",Yes,Yes,Yes,,,,,,,,,1,ordinal EPC,1,0.0631,"EPC is an ordinal attribute: A=7; B=6, ??G=1",0.7757
37,18,"DellAnna et al., 2019",EPC Green Premium in Two Different European Climate Zones: A Comparative Study between Barcelona and Turin,2019,Sustainability (Switzerland),Italy,Urban,2014,2018,4,Observational - comparative,Cross-sectional,15288,apartment,all ,listing,sales,EER,Band,Current,SEM,,No,Yes,Yes,semi-log,positive,log price,"size, new/retrofitted, dwelling level, air conditioning, building (swimming pool, lift), accessibility (highway, urban park, sea coast), year, lambda",Yes,Yes,Yes,,,,,,,,,1,ordinal EPC,1,0.0632,"EPC is an ordinal attribute: A=7; B=6, ??G=1",0.7787
38,19,"Barreca et al., 2021",Epc labels and building features: Spatial implications over housing prices,2021,Sustainability (Switzerland),Italy,Urban,2015,2018,3,Observational - comparative,Cross-sectional,2092,all ,all ,listing,sales,EER,Band,Current,SEM,,No,Yes,No,semi-log,positive,log price per m2,"construction time, property type, number of rooms, number of bathrooms, large terrace, number of views, custodian service, penthouse, car box, lift, maintenance level, building category, air conditioning, lambda",Yes,No,Yes,,,,,,,,,1,ordinal EPC,1,EPC=3: 6.2%; EPC=2: hold-out; EPC=1: -2.7%,"A-B: 3, C-D: 2, E-G: 1",0.532
39,19,"Barreca et al., 2021",Epc labels and building features: Spatial implications over housing prices,2021,Sustainability (Switzerland),Italy,Intra-urban,2015,2018,3,Observational - comparative,Cross-sectional,660,all ,all ,listing,sales,EER,Band,Current,SEM,,No,Yes,No,semi-log,positive,log price per m2,"construction time, property type, custodian service, car box, large terrace, lift, maintenance level, building category, air conditioning, lambda",Yes,No,Yes,,,,,,,,,1,ordinal EPC,1,EPC=3: 3.9%; EPC=2: hold-out; EPC=1: -3.7%,"A-B: 3, C-D: 2, E-G: 1",
40,20,"Taruttis and Weber, 2022",Estimating the impact of energy efficiency on housing prices in Germany: Does regional disparity matter?,2022,Energy Economics,Germany,National,2014,2018,4,Observational,Cross-sectional,422242,house,all ,listing,sales,EER,Energy consumption,Current,OLS,,Yes,No,Yes,semi-log,positive,log price per m2,"construction year, living space, lot size, number of rooms and floors, heating type, renovation, neighborhood structure (socio-economic characteristics, predominant building type), location, time, time*region, region*energy consumption",Yes,Yes,Yes,,,,,,,,,0,,1,-0.0627,impact of energy consumption (kWh/m2a) on house price,0.7899
41,21,"Massimo et al., 2022",Green and Gold Buildings? Detecting Real Estate Market Premium for Green Buildings through Evolutionary Polynomial Regression,2022,Buildings,Italy,Intra-urban,not mentioned,not mentioned,not mentioned,Observational,Cross-sectional,515,apartment,all ,transaction,sales,EER,Band,Current,EPR,,Yes,No,Yes,linear,positive,price,"size, age, number of bathrooms, floor level, maintenance, location, time",Yes,No,Yes,,,,,,,,,1,variation of changes of selling price corresponding to EPC variable,1,0.4152,"variation of changes of selling price corresponding to EPC variable; EPC as a scale score (1 for A/B, 0 for G)",
42,22,"Taltavull et al., 2019","Green Premium Evidence from Climatic Areas: A Case in Southern Europe, Alicante (Spain)",2019,Sustainability?,Spain,Regional,not mentioned,not mentioned,not mentioned,Observational,Cross-sectional,8922,all ,all ,listing,sales,EER,Band,Current,OLS,,Yes,No,No,semi-log,positive,log price,"size, property type, age, age2, number of rooms (bedrooms/bathrooms/rooms), improvement, orientation, view, first/second, public/rented, neighborhood characteristics, building characteristics, location",Yes,Yes,No,,-0.016,-0.016,-0.016,0.01,0.005,0.018,hold-out,0,,0,,,0.791
43,22,"Taltavull et al., 2019","Green Premium Evidence from Climatic Areas: A Case in Southern Europe, Alicante (Spain)",2019,Sustainability?,Spain,Regional,not mentioned,not mentioned,not mentioned,Observational,Cross-sectional,8948,all ,all ,listing,sales,EIR,CO2 emission,Current,OLS,,Yes,No,No,log-log,positive,log price,"size, property type, age, age2, number of rooms (bedrooms/bathrooms/rooms), improvement, orientation, view, first/second, public/rented, neighborhood characteristics, building characteristics, location",Yes,Yes,No,,,,,,,,,1,EIR co2 emission,1,-0.029, coefficient of log co2 emission,0.762
44,22,"Taltavull et al., 2019","Green Premium Evidence from Climatic Areas: A Case in Southern Europe, Alicante (Spain)",2019,Sustainability?,Spain,Regional,not mentioned,not mentioned,not mentioned,Observational,Cross-sectional,8948,all ,all ,listing,sales,EIR,Band,Current,OLS,,Yes,No,No,semi-log,positive,log price,"size, property type, age, age2, number of rooms (bedrooms/bathrooms/rooms), improvement, orientation, view, first/second, public/rented, neighborhood characteristics, building characteristics, location",Yes,Yes,No,,-0.063,-0.063,-0.063,0.019,0.011,0.018,hold-out,1,EIR rating,0,,,0.761
45,22,"Taltavull et al., 2019","Green Premium Evidence from Climatic Areas: A Case in Southern Europe, Alicante (Spain)",2019,Sustainability?,Spain,Regional,not mentioned,not mentioned,not mentioned,Observational,Cross-sectional,8742,all ,all ,listing,sales,EER,Band,Current,OLS,,Yes,No,No,semi-log,positive,log price,"size, property type, age, age2, number of rooms (bedrooms/bathrooms/rooms), improvement, orientation, view, first/second, public/rented, neighborhood characteristics, building characteristics, location",Yes,Yes,No,,-0.23,-0.23,-0.08,0.03,0,-0.01,hold-out,1,IV-OLS,0,,,0.43
46,23,"Fuerst et al., 2016(b)",Green signalling effects in the market for energy-efficient residential buildings,2016,Applied Energy,Finland,Urban,2009,2012,3,Observational,Cross-sectional,6194,apartment,private,transaction,sales,EER,Band,Current,OLS,,Yes,No,Yes,semi-log,positive,log price,"size, age, condition, floor, maximum floor, penthouse, sauna, CBD distance, neighborhood characteristics (socio-economic, housing stock), time, location, maintenance cost",Yes,Yes,No,,0.013,0.013,0.013,hold-out,0,0.0002,0.0002,0,,0,,,0.931
47,24,"Koengkan and Fuinhas, 2022",Heterogeneous Effect of ??Eco-Friendly?? Dwellings on Transaction Prices in Real Estate Market in Portugal,2022,Energies,Portugal,National,2014,2019,5,Observational,Cross-sectional,not applicable,all ,all ,transaction,sales,EER,Band,Current,QR,,No,No,No,linear,positive,median price per m2,"Municipality GDP, incentive policy, credit agreement, number of completed dwellings, number of completed reconstructions",No,Yes,No,,,,,,,,,1,,1,0.2431,impact of GD (number of A/B rating dwellings) on median transaction prices,
48,25,"Evangelista et al., 2022",How heterogeneous is the impact of energy efficiency on dwelling prices? Evidence from the application of the unconditional quantile hedonic model to the Portuguese residential market,2022,Energy Economics,Portugal,National,2009,2013,5,Observational,Cross-sectional,149920,apartment,all ,transaction,sales,EER,Band,Current,QR,,No,No,No,semi-log,positive,log price,"size, land area,number of bedrooms",Yes,No,No,,,,,,,,,1,QR,1,0.051,0.5th quantile; translate the 9-level EPC into numeric values 1-9,
49,25,"Evangelista et al., 2022",How heterogeneous is the impact of energy efficiency on dwelling prices? Evidence from the application of the unconditional quantile hedonic model to the Portuguese residential market,2022,Energy Economics,Portugal,National,2009,2013,5,Observational,Cross-sectional,59410,apartment,all ,transaction,sales,EER,Band,Current,QR,,No,No,No,semi-log,positive,log price,"size, land area,number of bedrooms",Yes,No,No,,,,,,,,,1,QR,1,0.052,0.5th quantile; translate the 9-level EPC into numeric values 1-9,
50,25,"Evangelista et al., 2022",How heterogeneous is the impact of energy efficiency on dwelling prices? Evidence from the application of the unconditional quantile hedonic model to the Portuguese residential market,2022,Energy Economics,Portugal,National,2009,2013,5,Observational,Cross-sectional,33282,house,all ,transaction,sales,EER,Band,Current,QR,,No,No,No,semi-log,positive,log price,"size, land area,number of bedrooms",Yes,No,No,,,,,,,,,1,QR,1,0.022,0.5th quantile; translate the 9-level EPC into numeric values 1-9,
51,25,"Evangelista et al., 2022",How heterogeneous is the impact of energy efficiency on dwelling prices? Evidence from the application of the unconditional quantile hedonic model to the Portuguese residential market,2022,Energy Economics,Portugal,National,2009,2013,5,Observational,Cross-sectional,13533,house,all ,transaction,sales,EER,Band,Current,QR,,No,No,No,semi-log,positive,log price,"size, land area,number of bedrooms",Yes,No,No,,,,,,,,,1,QR,1,0.03,0.5th quantile; translate the 9-level EPC into numeric values 1-9,
52,26,"Copiello and Donati, 2021",Is investing in energy efficiency worth it? Evidence for substantial price premiums but limited profitability in the housing sector,2021,Energy and Buildings,Italy,Urban,2019q3,2019q4,0.25,Observational,Cross-sectional,378,all ,all ,listing,sales,EER,Band,Current,SAR,,No,Yes,No,semi-log,positive,log price,"property type, age, number of rooms, number of bathrooms, garage, parking, unusual equipment, distance to shopping center, distance to beltway",Yes,Yes,No,,0.4806,0.4767,0.2802,0.2631,0.2172,0.1378,hold-out,1,,0,,,0.7574
53,27,"Fuerst et al., 2020",Is there an economic case for energy-efficient dwellings in the United Kingdom private rental market?,2020,Journal of Cleaner Production,United Kingdom,National,1995,2013,18,Observational,Cross-sectional,4132,all ,all ,transaction,sales - both,EER,Band - both for study-wise,Current,OLS,,Yes,No,Yes,semi-log,positive,log price per m2,"size (log), property type, age, number of bedrooms, tenure, rural/urban,  IMD score (log), location, time",Yes,Yes,No,,not mentioned,0.061,0.061,hold-out,0.004,-0.101,-0.101,0,,0,,,0.44
