Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
HM329TJE,journalArticle,2020,"McCord, M.; Haran, M.; Davis, P.; McCord, J.",Energy performance certificates and house prices: a quantile regression approach,Journal of European Real Estate Research,,,10.1108/JERER-06-2020-0033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090163840&doi=10.1108%2fJERER-06-2020-0033&partnerID=40&md5=94d968e36e2625568bd85d1831c4686e,,2020,18/03/2023 17:44,18/03/2023 17:51,,409-434,,3,13,,,,,,,,,,,,,Scopus,,,,,,,,Energy: Demand and Supply; Prices Q41; Housing Supply and Markets R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JGAVG9S6,journalArticle,2022,"Taruttis, L.; Weber, C.",Estimating the impact of energy efficiency on housing prices in Germany: Does regional disparity matter?,Energy Economics,,,10.1016/j.eneco.2021.105750,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120889747&doi=10.1016%2fj.eneco.2021.105750&partnerID=40&md5=e0e341ae8421d47f28a4d055f3ea18fa,,2022,18/03/2023 17:44,18/03/2023 17:52,,,,,105,,,,,,,,,,,,,Scopus,,,,,,,,"Climate; Energy: Government Policy Q48; Environmental Economics: Government Policy Q58; Housing Supply and Markets R31; Global Warming Q54; Natural Disasters and Their Management; Urban, Rural, Regional, Real Estate, and Transportation Economics: Housing Demand R21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU4LTREP,journalArticle,2017,"Zaid, S.M.; Graham, P.",Rising residential energy consumption and GHG emissions in Malaysia: A case study of public low-cost housing projects in Kuala Lumpur,Indoor and Built Environment,,,10.1177/1420326X15616173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018191015&doi=10.1177%2f1420326X15616173&partnerID=40&md5=ab4330220894aab6db94b08dc23a31b1,,2017,18/03/2023 17:44,18/03/2023 18:00,,375-391,,3,26,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTS7GDZ2,journalArticle,2016,"Fuerst, F.; McAllister, P.; Nanda, A.; Wyatt, P.",Energy performance ratings and house prices in Wales: An empirical study,Energy Policy,,,10.1016/j.enpol.2016.01.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960361019&doi=10.1016%2fj.enpol.2016.01.024&partnerID=40&md5=9d8fc37e289e924dbaaed13f9b179afd,,2016,18/03/2023 17:44,18/03/2023 17:51,,20-33,,,92,,,,,,,,,,,,,Scopus,,,,,,,,Energy performance certificate; Wales; Home prices; Prices; Energy consumption; Energy economics; Dwellings; Cross-sectional method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEIDF3CB,book,2020,"Morano, P.; Rosato, P.; Tajani, F.; Di Liddo, F.",An analysis of the energy efficiency impacts on the residential property prices in the city of Bari (Italy),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070558796&doi=10.1007%2f978-3-030-23786-8_5&partnerID=40&md5=d92b4ffb04ac44a8f139090313c95b64,,2020,18/03/2023 17:44,18/03/2023 17:44,,,73,,,,,,Green Energy and Technology,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3G5VEBH,journalArticle,1995,"Mathews, E.H.; Richards, P.G.; Van Wyk, S.L.; Rousseau, P.G.",Energy efficiency of ultra-low-cost housing,Building and Environment,,,10.1016/0360-1323(94)00061-V,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028827886&doi=10.1016%2f0360-1323%2894%2900061-V&partnerID=40&md5=a4916e0c80975bce8ecb26a5da971e9f,,1995,18/03/2023 17:44,18/03/2023 17:51,,427-432,,3,30,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJGZW66K,journalArticle,2020,"Cespedes-Lopez, M.-F.; Mora-Garcia, R.-T.; Perez-Sanchez, V.R.; Marti-Ciriquian, P.",The influence of energy certification on housing sales prices in the province of alicante (Spain),Applied Sciences (Switzerland),,,10.3390/app10207129,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092890954&doi=10.3390%2fapp10207129&partnerID=40&md5=981ea87509116a00001835e6d206ceab,,2020,18/03/2023 17:44,18/03/2023 18:04,,Jan-30,,20,10,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2AQJKNIF,journalArticle,1994,"Mathews, E.H.; van Wyk, S.L.; Richards, P.G.; Rousseau, P.G.",Energy efficiency of formal low-cost housing,Renewable Energy,,,10.1016/0960-1481(94)90154-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028481211&doi=10.1016%2f0960-1481%2894%2990154-6&partnerID=40&md5=93e6286cb7912efe8f4500b97a7fb8a1,,1994,18/03/2023 17:44,18/03/2023 17:51,,1231-1234,,05-Aug,5,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJM27F2Z,journalArticle,2003,"Spalding-Fecher, R.; Mqadi, L.; Oganne, G.",Carbon financing for energy efficient low cost housing,Journal of Energy in Southern Africa,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542712463&partnerID=40&md5=accfbd61e25990728a618aa24c7e1811,,2003,18/03/2023 17:44,18/03/2023 17:44,,128-133,,4,14,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRVAI2FI,journalArticle,2002,"Winkler, H.; Spalding-fecher, R.; Tyani, L.; Matibe, K.",Cost-benefit analysis of energy efficiency in urban low-cost housing,Development Southern Africa,,,10.1080/03768835022000019383,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036963566&doi=10.1080%2f03768835022000019383&partnerID=40&md5=e9969c8be30c2c0ed8258a7d6c2077a2,,2002,18/03/2023 17:44,18/03/2023 17:44,,593-614,,5,19,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ML5RBTK,journalArticle,2008,"Spetic, W.; Kozak, R.; Cohen, D.",How consumers value healthy houses: A preliminary segmentation of Canadian households,Journal of Housing and the Built Environment,,,10.1007/s10901-007-9101-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39849108603&doi=10.1007%2fs10901-007-9101-x&partnerID=40&md5=679539ca9d4bf93b6b1d24efae714af8,,2008,18/03/2023 17:44,18/03/2023 17:53,,37-52,,1,23,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9AZR64ZF,conferencePaper,2019,"Dias Barkokebas, R.; Chen, Y.; Yu, H.; Al-Hussein, M.",Energy code-compliant housing design: A cost and energy perspective,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080885721&partnerID=40&md5=bee1c12cfd3920d10986dcd183affa09,,2019,18/03/2023 17:44,18/03/2023 17:44,,,,,2019-June,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings, Annual Conference - Canadian Society for Civil Engineering",,,,,,,,,,,,,,,
VUICTYAQ,journalArticle,2020,"Evangelista, R.; Ramalho, E.A.; Andrade e Silva, J.",On the use of hedonic regression models to measure the effect of energy efficiency on residential property transaction prices: Evidence for Portugal and selected data issues,Energy Economics,,,10.1016/j.eneco.2020.104699,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079323676&doi=10.1016%2fj.eneco.2020.104699&partnerID=40&md5=e66633e35233345ba1da4c21ec29085e,,2020,18/03/2023 17:44,18/03/2023 17:56,,,,,86,,,,,,,,,,,,,Scopus,,,,,,,,"Energy: Demand and Supply; Prices Q41; Housing Supply and Markets R31; Urban, Rural, Regional, Real Estate, and Transportation Economics: Housing Demand R21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XYFZJAFE,conferencePaper,2009,"Mathias, J.A.; Mathias, D.M.","Energy efficient, cost effective, passive solar house",,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449466772&partnerID=40&md5=f3ceff2ae128ac792976ac7405b11c76,,2009,18/03/2023 17:44,18/03/2023 17:51,,419-426,,,115 PART 1,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASHRAE Transactions,,,,,,,,,,,,,,,
8QVPXTUH,journalArticle,2019,"Marmolejo-Duarte, C.; Chen, A.",The evolution of energy efficiency impact on housing prices. An analysis for Metropolitan Barcelona,Revista de la Construccion,,,10.7764/RDLC.18.1.156,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066297262&doi=10.7764%2fRDLC.18.1.156&partnerID=40&md5=255f44f42f6c0f643fed0ec57cfbc368,,2019,18/03/2023 17:44,18/03/2023 18:03,,156-166,,1,18,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YVD8PYTZ,journalArticle,2014,"Fregonara, E.; Rolando, D.; Semeraro, P.; Vella, M.",The impact of Energy Performance Certificate level on house listing prices. First evidence from Italian real estate,Aestimum,,,10.13128/Aestimum-15459,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017228234&doi=10.13128%2fAestimum-15459&partnerID=40&md5=50df2e3ef125a5567e6ca204d645e2f0,,2014,18/03/2023 17:44,18/03/2023 18:04,,143-163,,,65,,,,,,,,,,,,,Scopus,,,,,,,,"Energy: Demand and Supply; Prices Q41; Energy: Government Policy Q48; Housing Supply and Markets R31; Production Analysis and Firm Location: Government Policy R38; Real Estate Services L85; Energy, Environmental, Health, and Safety Law K32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9QL63EM2,journalArticle,2022,"Stenvall, D.; Cerin, P.; Sjö, B.; Salah Uddin, G.",Does energy efficiency matter for prices of tenant-owned apartments?,Environmental Science and Pollution Research,,,10.1007/s11356-022-20482-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129639606&doi=10.1007%2fs11356-022-20482-w&partnerID=40&md5=88c1578c62763ca2fb975c49e5686476,,2022,18/03/2023 17:44,18/03/2023 17:49,,66793-66807,,44,29,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPATXHXN,conferencePaper,2008,"Vaquero, P.; Maldonado, E.; Coimbra, J.",Assessing the improvements resulting from EPBD implementation in low-cost housing in Portugal: Occupant satisfaction evaluation using comfort surveys and measurements,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860720247&partnerID=40&md5=973d724411aa2602debc9aa265d59a75,,2008,18/03/2023 17:44,18/03/2023 17:44,,,,,,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings of Conference: Air Conditioning and the Low Carbon Cooling Challenge - Windsor 2008 Conference,,,,,,,,,,,,,,,
K5FAQYY5,journalArticle,2020,"Karpinska, L.; Śmiech, S.",Conceptualising housing costs: The hidden face of energy poverty in Poland,Energy Policy,,,10.1016/j.enpol.2020.111819,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089917534&doi=10.1016%2fj.enpol.2020.111819&partnerID=40&md5=395ccf7af0d04fbfb1ec86970228996a,,2020,18/03/2023 17:44,18/03/2023 17:48,,,,,147,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3HCM6YNL,journalArticle,2015,"Davis, P.T.; McCord, J.; McCord, M.J.; Haran, M.",Modelling the effect of energy performance certificate rating on property value in the Belfast housing market,International Journal of Housing Markets and Analysis,,,10.1108/IJHMA-09-2014-0035,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937805011&doi=10.1108%2fIJHMA-09-2014-0035&partnerID=40&md5=411e50f1963022289c7343bb5da91e56,,2015,18/03/2023 17:44,18/03/2023 17:56,,292-317,,3,8,,,,,,,,,,,,,Scopus,,,,,,,,Energy: Demand and Supply; Prices Q41; Energy: Government Policy Q48; Housing Supply and Markets R31; Production Analysis and Firm Location: Government Policy R38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXHSICE7,conferencePaper,2020,"MacCarthy, M.F.; Graham, M.E.; Ramirez, G.X.; Chagan, A.A.; Semmendinger, K.T.",Sustainable low-cost household energy systems: Solar photovoltaic and shallow geothermal systems,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095744341&partnerID=40&md5=be2bb17a357cb8836c6db8b268484493,,2020,18/03/2023 17:44,18/03/2023 17:44,,,,,2020-June,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,,,,,,,,,,,,
EVTJJ4XE,journalArticle,2022,"Evangelista, R.; Silva, J.A.E.; Ramalho, E.A.",How heterogeneous is the impact of energy efficiency on dwelling prices? Evidence from the application of the unconditional quantile hedonic model to the Portuguese residential market,Energy Economics,,,10.1016/j.eneco.2022.105955,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128210911&doi=10.1016%2fj.eneco.2022.105955&partnerID=40&md5=3d1da8ec31073bce1f240f14c3a3856e,,2022,18/03/2023 17:44,18/03/2023 17:53,,,,,109,,,,,,,,,,,,,Scopus,,,,,,,,Energy efficiency; Home prices; Energy consumption; Portugal; Quantile regression; Residential real estate; Real property sales & prices; Back orders; Conditional quantile regression; Discount prices; Hedonic price models; Residential property market; Stock-keeping unit; Unconditional quantile regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LZR89R8Z,journalArticle,2014,"Cerin, P.; Hassel, L.G.; Semenova, N.",Energy Performance and Housing Prices,Sustainable Development,,,10.1002/sd.1566,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919841476&doi=10.1002%2fsd.1566&partnerID=40&md5=2bb6d597b7c388f314f12cd71d6f19fd,,2014,18/03/2023 17:44,18/03/2023 17:51,,404-419,,6,22,,,,,,,,,,,,,Scopus,,,,,,,,Home prices; energy performance; property value; residential property; Housing finance; Housing satisfaction; Power resource standards; Real property sales & prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5K62LB69,journalArticle,2014,"Odeku, K.O.; Overen, K.O.; Meyer, E.L.",Thermal efficiency for low cost houses using translucent water-based acrylic paint,Mediterranean Journal of Social Sciences,,,10.5901/mjss.2014.v5n20p2961,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907294421&doi=10.5901%2fmjss.2014.v5n20p2961&partnerID=40&md5=11e84d6f0ec47e07a941b9b50288d0ee,,2014,18/03/2023 17:44,18/03/2023 17:44,,2961-2966,,20,5,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65YLECE2,conferencePaper,2021,"Femenias, P.; Legnér, M.",How well do policies for energy efficiency and heritage values in the Swedish housing stock work,,,,10.1088/1755-1315/863/1/012027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118894035&doi=10.1088%2f1755-1315%2f863%2f1%2f012027&partnerID=40&md5=0165a570f0cb41760796f923559802d0,,2021,18/03/2023 17:44,18/03/2023 17:44,,,,,863,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IOP Conference Series: Earth and Environmental Science,,,,,,,,,,,,,,,
RSKTPCYE,conferencePaper,2020,"Ahmed, K.; Hajian, H.; Hasu, T.; Kurnitski, J.","Kouvola Housing fair NZEB houses energy, cost and carbon analyses",,,,10.1051/e3sconf/202017213001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088442143&doi=10.1051%2fe3sconf%2f202017213001&partnerID=40&md5=0de27ac69cc7bb14f30fefd8bf330385,,2020,18/03/2023 17:44,18/03/2023 17:55,,,,,172,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E3S Web of Conferences,,,,,,,,,,,,,,,
733V38ZB,conferencePaper,2019,"Zhang, Y.; Gong, Y.; Morgan, D.; Zhang, Y.",A data-driven approach to energy cost prediction of dwellings based on partitioned parallel modeling,,,,10.1109/COMPSAC.2019.10198,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072681965&doi=10.1109%2fCOMPSAC.2019.10198&partnerID=40&md5=d8868900e0afe8614cc830f846fb4713,,2019,18/03/2023 17:44,18/03/2023 17:46,,146-152,,,2,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings - International Computer Software and Applications Conference,,,,,,,,,,,,,,,
58I6353P,conferencePaper,2010,"Moore, T.; Morrissey, J.","Affordable zero emission housing: Through life cost-benefit analysis to identify policy pathways for residential new-build in Melbourne, Australia",,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864561202&partnerID=40&md5=d804cb04c03f48958cf640f9ed7a915f,,2010,18/03/2023 17:44,18/03/2023 17:44,,,,,,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th Australasian Housing Researchers' Conference,,,,,,,,,,,,,,,
2TER5CH2,journalArticle,2018,"Laicans, M.; Puķīte, I.; Geipele, I.; Zeltins, N.; Greķis, A.",Heat Cost Allocation in Multi-Apartment Buildings: A Literature Review,Latvian Journal of Physics and Technical Sciences,,,10.2478/lpts-2018-0033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058649403&doi=10.2478%2flpts-2018-0033&partnerID=40&md5=a9700720ab950d3b30d8c2e9a216c681,,2018,18/03/2023 17:44,18/03/2023 17:53,,26-35,,5,55,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8Z9PI3SA,journalArticle,2019,"Rezvani, F.; Zabalza Bribián, I.",Calculation and comparative analysis of thermal transmittance (U-value) of Scottish houses from recent centuries,Indoor and Built Environment,,,10.1177/1420326X18798885,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059962178&doi=10.1177%2f1420326X18798885&partnerID=40&md5=1e70999a10659e1ac7844ac358bc7dc9,,2019,18/03/2023 17:44,18/03/2023 17:48,,873-886,,7,28,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNMTYHXB,journalArticle,2017,"Bariss, U.; Bazbauers, G.; Blumberga, A.; Blumberga, D.",System dynamics modeling of households' electricity consumption and cost-income ratio: A case study of Latvia,Environmental and Climate Technologies,,,10.1515/rtuect-2017-0009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037621627&doi=10.1515%2frtuect-2017-0009&partnerID=40&md5=b01cb0fe4aea684ae3174f00c5e4402b,,2017,18/03/2023 17:44,18/03/2023 18:02,,36-50,,1,20,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
